time,latitude,longitude,altitude
1718962579.7235236,51.942125999999995,-2.3979793,107637.0
1718962579.8240893,51.942125999999995,-2.3979793,107639.0
1718962579.9650216,51.942125999999995,-2.3979793,107640.0
1718962580.1067383,51.942125999999995,-2.3979793,107646.0
1718962580.2074115,51.942125999999995,-2.3979794,107640.0
1718962580.3485842,51.942125999999995,-2.3979793,107636.0
1718962580.469581,51.942125999999995,-2.3979793,107634.0
1718962580.5907483,51.942125999999995,-2.3979793,107633.0
1718962580.7116508,51.942125999999995,-2.3979793,107634.0
1718962580.852647,51.942125999999995,-2.3979793,107635.0
1718962580.973638,51.942125999999995,-2.3979793,107638.0
1718962581.094607,51.942125999999995,-2.3979793,107636.0
1718962581.2153466,51.942125999999995,-2.3979793,107639.0
1718962581.3361137,51.942125999999995,-2.3979793,107637.0
1718962581.4770563,51.942125999999995,-2.3979793,107635.0
1718962581.598137,51.942125999999995,-2.3979793,107636.0
1718962581.718927,51.942125999999995,-2.3979793,107632.0
1718962581.8396077,51.942125999999995,-2.3979793,107626.0
1718962581.9603038,51.942125999999995,-2.3979793,107635.0
1718962582.1012964,51.942125999999995,-2.3979792,107634.0
1718962582.222768,51.942125999999995,-2.3979793,107633.0
1718962582.3433943,51.942125999999995,-2.3979793,107631.0
1718962582.4641352,51.942126099999996,-2.3979794,107645.0
1718962582.5848393,51.942125999999995,-2.3979794,107645.0
1718962582.7258263,51.942126099999996,-2.3979794,107646.0
1718962582.8268094,51.942126099999996,-2.3979794,107652.0
1718962582.9677556,51.942126099999996,-2.3979794,107649.0
1718962583.1087453,51.942125999999995,-2.3979793,107652.0
1718962583.249527,51.942126099999996,-2.3979794,107642.0
1718962583.3501356,51.942126099999996,-2.3979794,107637.0
1718962583.4711528,51.942126099999996,-2.3979794,107645.0
1718962583.591741,51.942126099999996,-2.3979794,107643.0
1718962583.712348,51.942126099999996,-2.3979794,107641.0
1718962583.833067,51.942125999999995,-2.3979794,107644.0
1718962583.97389,51.942126099999996,-2.3979794,107649.0
1718962584.0944786,51.942125999999995,-2.3979793,107646.0
1718962584.216472,51.942126099999996,-2.3979794,107642.0
1718962584.3375616,51.942125999999995,-2.3979794,107641.0
1718962584.4583657,51.942126099999996,-2.3979793,107648.0
1718962584.599065,51.942125999999995,-2.3979793,107644.0
1718962584.7198925,51.942126099999996,-2.3979793,107639.0
1718962584.840618,51.942126099999996,-2.3979793,107642.0
1718962584.9613237,51.942125999999995,-2.3979793,107638.0
1718962585.102584,51.942125999999995,-2.3979793,107640.0
1718962585.2237597,51.942125999999995,-2.3979793,107640.0
1718962585.344515,51.942126099999996,-2.3979793,107631.0
1718962585.4654603,51.942125999999995,-2.3979793,107636.0
1718962585.586303,51.942125999999995,-2.3979793,107641.0
1718962585.7071726,51.942125999999995,-2.3979793,107643.0
1718962585.8278937,51.942125999999995,-2.3979793,107643.0
1718962585.9687085,51.942125999999995,-2.3979793,107639.0
1718962586.109599,51.942125999999995,-2.3979793,107638.0
1718962586.2101798,51.942125999999995,-2.3979792,107640.0
1718962586.3509424,51.942125999999995,-2.3979793,107638.0
1718962586.4515095,51.942125999999995,-2.3979793,107637.0
1718962586.5924344,51.942125999999995,-2.3979792,107639.0
1718962586.733322,51.942125999999995,-2.3979793,107641.0
1718962586.8340058,51.942125999999995,-2.3979793,107638.0
1718962586.9749153,51.942125999999995,-2.3979792,107648.0
1718962587.1157796,51.942125999999995,-2.3979793,107636.0
1718962587.2163281,51.942125999999995,-2.3979793,107635.0
1718962587.3370192,51.942125999999995,-2.3979792,107641.0
1718962587.4587173,51.9421259,-2.3979792,107643.0
1718962587.5794632,51.942125999999995,-2.3979792,107642.0
1718962587.7206562,51.942125999999995,-2.3979793,107642.0
1718962587.8413925,51.942125999999995,-2.3979792,107638.0
1718962587.9620905,51.942125999999995,-2.3979792,107636.0
1718962588.1029427,51.942125999999995,-2.3979793,107635.0
1718962588.2036433,51.942125999999995,-2.3979792,107635.0
1718962588.344714,51.942125999999995,-2.3979792,107635.0
1718962588.46543,51.942126099999996,-2.3979793,107645.0
1718962588.5861502,51.942126099999996,-2.3979793,107643.0
1718962588.7069721,51.942125999999995,-2.3979794,107646.0
1718962588.8276672,51.942125999999995,-2.3979794,107649.0
1718962588.9484437,51.942126099999996,-2.3979794,107650.0
1718962589.1093502,51.942125999999995,-2.3979793,107647.0
1718962589.209958,51.942126099999996,-2.3979793,107650.0
1718962589.330593,51.942125999999995,-2.3979793,107654.0
1718962589.4512372,51.942126099999996,-2.3979794,107646.0
1718962589.5719771,51.942126099999996,-2.3979793,107641.0
1718962589.712836,51.942125999999995,-2.3979794,107647.0
1718962589.8335679,51.942125999999995,-2.3979793,107654.0
1718962589.9554088,51.942125999999995,-2.3979793,107645.0
1718962590.0963833,51.942126099999996,-2.3979794,107647.0
1718962590.2171137,51.942126099999996,-2.3979793,107650.0
1718962590.3379402,51.942126099999996,-2.3979793,107655.0
1718962590.458717,51.942125999999995,-2.3979793,107650.0
1718962590.5792782,51.942126099999996,-2.3979793,107649.0
1718962590.720159,51.942125999999995,-2.3979793,107651.0
1718962590.8410099,51.942125999999995,-2.3979793,107655.0
1718962590.9617376,51.942125999999995,-2.3979793,107645.0
1718962591.1032953,51.942125999999995,-2.3979793,107650.0
1718962591.2038577,51.942125999999995,-2.3979793,107652.0
1718962591.3447063,51.942125999999995,-2.3979793,107651.0
1718962591.4657276,51.942126099999996,-2.3979793,107650.0
1718962591.5865328,51.942125999999995,-2.3979793,107650.0
1718962591.7071788,51.942125999999995,-2.3979793,107651.0
