time,x,y,z,heading
1718963230.8390098,-32.12843253694007,-21.083759635058527,0.0,3.2378748587391613
1718963230.8796504,-32.07704314096748,-21.0808245698205,0.0,3.29983002297956
1718963230.9199007,-32.025591367936215,-21.077855439359137,0.0,3.3055860020960512
1718963230.960146,-31.974186586173786,-21.074865739617096,0.0,3.3515544529834758
1718963231.0003664,-31.922810062306514,-21.071908318057133,0.0,3.2374855484041603
1718963231.0405965,-31.870738777010292,-21.069030831475345,0.0,3.088470196340126
1718963231.0808465,-31.819416574842556,-21.06628169910019,0.0,3.043896756430801
1718963231.1210897,-31.769119042525475,-21.063606115947348,0.0,3.0460747385671887
1718963231.1614833,-31.717785240319166,-21.060845538591334,0.0,3.1103841748056693
1718963231.2017324,-31.664833030763354,-21.057960677293146,0.0,3.1264522059951783
1718963231.2420075,-31.613147421325678,-21.055134570405436,0.0,3.1330430718930504
1718963231.2823296,-31.56255673680668,-21.052388937269892,0.0,3.0799194398103706
1718963231.3225396,-31.511918632922615,-21.049687838189747,0.0,3.0267486680450504
1718963231.3628263,-31.46041514416702,-21.047012049102342,0.0,2.921341851797323
1718963231.4029455,-31.407409971162327,-21.044400235611782,0.0,2.7205585279935947
1718963231.4432938,-31.354017741746265,-21.041907174013364,0.0,2.6262207163845686
1718963231.4836457,-31.301587544919293,-21.039473725117023,0.0,2.6885166939550085
1718963231.5238762,-31.251452860652975,-21.037032356876484,0.0,2.887251408641338
1718963231.5641146,-31.200821204198153,-21.034493882491862,0.0,2.85311729624526
1718963231.6043305,-31.148795059813946,-21.031908534029526,0.0,2.836629895815689
1718963231.6447408,-31.096491545106254,-21.029293809476258,0.0,2.887194527977993
1718963231.6850848,-31.044153092862796,-21.026647370850952,0.0,2.9020762959114563
1718963231.7253509,-30.99204154310923,-21.024066786221955,0.0,2.7679114403706246
1718963231.7655945,-30.940770676251837,-21.021568661621206,0.0,2.81104204444407
1718963231.8058527,-30.89170443930457,-21.019197215970376,0.0,2.7230354035123825
1718963231.8460748,-30.840922558561658,-21.01674778394004,0.0,2.7999357550660133
