id,x,y
0,-0.812985,3.3561
1,-0.617273,3.28101
2,-0.434481,3.35861
3,-0.465211,3.225
4,6.73464,3.46639
5,6.76096,3.35967
6,7.20972,3.39766
7,6.99615,3.3128
8,12.6626,3.48251
9,12.7476,3.3782
10,13.1532,3.43649
11,12.9798,3.34038
12,18.6394,3.51569
13,18.6674,3.38328
14,19.0677,3.35976
15,18.9202,3.24744
16,24.4912,3.43865
17,24.5476,3.31616
18,24.9787,3.42204
19,24.7713,3.33929
21,30.4679,3.35997
22,31.0128,3.38245
23,30.7781,3.29759
24,36.38,3.46974
25,36.4194,3.35416
26,36.961,3.34643
27,36.7163,3.25058
28,42.3103,3.46775
29,42.2984,3.33706
30,42.8652,3.27115
31,42.6268,3.1702
32,47.6903,3.37118
33,47.6901,3.23694
34,48.3422,3.22266
35,47.9998,3.16906
36,51.7411,3.25608
37,51.6272,3.17079
104,-0.624898,2.44951
105,-0.51707,2.33934
106,-0.364853,2.38024
107,-0.353325,2.22109
108,4.05543,2.41758
109,3.89456,2.29483
110,4.28193,2.34107
111,4.12816,2.208
112,9.83308,2.43139
113,9.88306,2.28038
114,10.1971,2.42365
115,10.0316,2.27573
116,15.9483,2.43106
117,15.7851,2.30712
118,16.13,2.283
119,16.0045,2.1569
120,21.8939,2.41646
121,21.7105,2.27741
122,22.0632,2.32533
123,21.9309,2.1671
124,27.8142,2.34197
125,27.6263,2.23711
126,27.9812,2.26532
127,27.8382,2.12545
128,33.7488,2.35731
129,33.5432,2.21768
130,33.9207,2.23677
131,33.7746,2.11069
132,39.6888,2.31957
133,39.4951,2.18387
134,39.8621,2.12886
135,39.7201,1.99389
136,48.0277,2.29461
137,47.8178,2.14899
138,48.2543,2.28525
139,48.0326,2.10347
140,51.894,2.14517
141,51.6851,2.10105
143,51.9121,2.10662
145,57.3304,2.13885
208,-0.407629,1.37207
209,-0.42744,1.27571
210,-0.237473,1.27368
211,-0.369337,1.06541
212,7.08084,1.32879
213,6.95378,1.2185
214,7.24417,1.29011
215,7.10824,1.12232
216,12.9049,1.37818
217,12.9475,1.22744
218,13.2054,1.34076
219,13.1375,1.17582
220,18.8647,1.37636
221,18.9064,1.21556
222,19.2102,1.27296
223,19.091,1.13853
224,24.7391,1.32745
225,24.8031,1.16429
226,25.0534,1.28532
227,24.9839,1.11938
228,30.7329,1.29924
229,30.7827,1.14436
230,31.0907,1.25019
231,30.9569,1.09473
232,36.6321,1.29219
233,36.6946,1.12991
234,36.9791,1.21824
235,36.8956,1.07044
236,42.512,1.30075
237,42.5959,1.11435
238,42.9562,1.16923
239,42.7846,1.04623
240,47.8976,1.21015
241,47.9087,1.05307
242,48.1486,1.13215
243,48.0827,1.03365
244,51.8132,1.18416
245,51.8031,1.03641
312,-0.269088,-0.596602
313,-0.366425,-0.745528
314,-0.0630342,-0.721817
315,-0.186964,-0.883637
316,4.1061,-0.652173
317,4.02429,-0.7909
318,4.33493,-0.632231
319,4.27738,-0.779744
320,10.1176,-0.635106
321,10.1103,-0.81823
322,10.2822,-0.613665
323,10.2225,-0.766134
324,16.0148,-0.615083
325,15.9956,-0.746878
326,16.2031,-0.642878
327,16.1597,-0.730323
328,21.975,-0.65304
329,21.9189,-0.772312
330,22.152,-0.584843
331,22.1097,-0.743043
332,27.896,-0.697063
333,27.9094,-0.827069
334,28.0625,-0.686873
335,28.0897,-0.747867
336,33.8167,-0.688589
337,33.7852,-0.818689
338,33.9779,-0.70167
339,33.9625,-0.72123
340,39.7665,-0.728253
341,39.7416,-0.861017
342,39.9226,-0.725442
343,39.928,-0.787638
344,48.0653,-0.802571
345,48.081,-0.928453
346,48.1987,-0.753482
347,48.242,-0.85931
348,51.9302,-0.750639
349,51.8602,-0.86862
416,-0.204483,-1.6326
417,-0.254801,-1.77025
418,-0.0852466,-1.81191
419,-0.192076,-1.95321
421,7.18695,-1.68346
422,7.10695,-1.79991
423,7.42324,-1.73417
424,7.30486,-1.86268
425,13.1706,-1.68464
426,13.14,-1.80816
427,13.4206,-1.69916
428,13.3009,-1.83083
429,19.0668,-1.69356
430,19.0447,-1.82688
431,19.3192,-1.75549
432,19.219,-1.89785
433,24.8802,-1.70564
434,24.9399,-1.80178
435,25.1831,-1.71687
436,25.1085,-1.85456
437,30.9406,-1.75382
438,30.9039,-1.87114
439,31.1692,-1.74565
440,31.1045,-1.89986
441,36.8693,-1.76369
442,36.8667,-1.89496
443,37.1313,-1.75974
444,37.0518,-1.89526
445,42.7164,-1.81338
446,42.663,-1.92335
447,43.0015,-1.81026
448,42.8896,-1.95441
449,48.1128,-1.83657
450,48.0957,-1.99178
451,48.3076,-1.8302
452,48.2141,-1.95548
453,51.9724,-1.79373
454,51.9351,-1.92996
521,-0.222145,-2.67765
522,-0.450679,-2.67877
523,0.0511032,-2.90776
